,id,title,score
0,17vgjux,Singing made me realize I was capable of doing anything,4
1,17tpyl1,Went wigless and got called pretty,19
2,17t4494,I thought I was the worst person to get pregnant..,13
3,17rxux9,My husbands grandmother hid cheetos in her house,18
4,17puwdw,strangers,10
5,17k5x58,Im with the girl of my dreams,18
6,17jjpsp,My Story From Lonely to Loved,5
7,17drvlv,"After suffering an agonising breakup, a friend comes to the rescue.",5
8,17digzm,Complimented at a Halloween Store,10
9,17ctp2c,Girl Scout doing good deeds but ends up kinda funny bit still sweet,2
10,177gk8g,My parents learning my boyfriend’s language,42
11,173gu8a,Our town has a cat man,34
12,173ikdh,friends reaction to me hearing her speak made her happy,16
13,16zs9ux,One of my fav birthdays:),3
14,16ybpgg,Injury and recovery,3
15,16oh6kj,Stranger at work,14
16,16kp6wy,"Today, I bought someone's meal.",11
17,16kdpas,A random stranger complimented me,7
18,16gr5ql,Grampa got taught a Disney style lesson,11
19,16fvxkz,what girls do in the bathroom together (sounded less weird in my head),10
20,16by4x9,I went to a painting group with a bunch of old ladies. It was strangely humbling.,3
21,16bfwzl,My (f20) brother (13f) lets me put things in his bag when I don't have pockets or a bag,13
22,16adcye,Had a customer cry and hug me when I called her beautiful.,20
23,169cee4,I love giving random people complements,5
24,16423o2,My boyfriend turns everything around,13
25,162t3ca,I’m in my best place rn because of a man,8
26,16120gi,Amazing spa made acception for my cousin’s disabilities,7
27,15ys607,I tricked my grandma into letting me take care of her!,15
28,15yfc7g,Bush Cricket,5
29,15x299j,Dog owners from across the street had a meeting,10
30,15wj0ap,Just a wholesome little story,9
31,15u1scp,Brother-in-law found his own family,17
32,15s55be,Adorable Interaction I Had With a Stranger on a Flight,15
33,15ply4y,My mom told me about her dream.,10
34,15mcfv7,Taught my friends daughter how to cook eggs.,10
35,15k55qv,How i met my very first friends,3
36,15j813u,My great grandfather is my hero,4
37,15g4ctt,My friends always got my back,5
38,15eisvn,precious kid receives award,4
39,15csff1,I finally cleaned my room and I feel incredible,10
40,15aqz3t,I found out my boyfriend is literally the cutest.,14
41,159b4cn,I love my older brothers,12
42,150wllm,My “best friend” did a complete 180 and committed his life to Christ.,4
43,14zixa5,I just received the perfect proposal.,13
44,14z6s96,Disney couple,9
45,14vu97b,Today i remembered elementary pizza parties,3
46,14tm2dm,My Incredible Interaction with a Cop,14
47,14soyq0,I went to my friend's house yesterday!,5
48,14qi7s2,School Football story,3
49,14hlp2d,"My cat, Leah",8
50,14gnf0g,Wholesome story,11
51,14eosxl,So glad I don’t like orange fruit pastilles,13
52,14d8spq,My first date and it was a double date,10
53,14cbn2i,I am happy my brother is strict,14
54,14c4m12,A six year old made me love games again,13
55,14ad905,Learning Danish for my Step Father,4
56,1472353,Why I love my brother,21
57,145hzur,"""I love you""",20
58,142ge2d,Cafe lady helps me when I fell off my bike.,13
59,141najy,Kid tells me he loves me on a difficult day,9
60,140uohs,"A Man who was in his 60, pays over $450 for groceries that weren’t his",6
61,13ydfz4,Happy birthday to a customer from several months ago,4
62,13rptp9,My grandpa and swallow,5
63,13on4nr,I got a cat yesterday and showed my 2 year and 5 month old niece a picture of the cat,11
64,13ndtm6,Early memories.,8
65,13krm8e,My teacher is so kind,9
66,13dkhyy,I graduate tomorrow after 9 years and so does my sister!,23
67,13cn4sv,Concert made my husband very happy,12
68,12h1o3n,My students are my anti depressant,38
69,12c9kpj,Feeling truly seen by my husband.,52
70,127wpzj,DISCOVERING MY PURPOSE | (David S. Hooker),2
71,122yw62,Playing games,7
72,121pj6d,first period,4
73,121ep7d,"After 12 years, my dad said something that made me cry happy tears",18
74,11vcplf,A nice Vagos Motorcycle Gang member,3
75,11uw7u0,The boy and his cat.,20
76,11qiztv,How the internet helped my friends and me.,9
77,11m8s3r,"At ease, soldier",34
78,11lk3x8,A father who is not embarrassed for his son.,15
79,11lilix,I ran into an old friend in work,8
80,11hc29y,Today I heard the story of how my grandparents met for the first time,22
81,11gzx2h,My sister made me smile,9
82,11a2mxf,Reunion,12
83,11719fg,How my nightmarish first time w my bf turned wholesome,24
84,116xpoq,How a table of ladies went out their way to make my niece comfortable due to her being painfully shy.,15
85,112w4bg,from my old job :),11
86,111aipx,Reunited with mom,9
87,110kdh6,How We Surprised my Husband’s Grandmother,4
88,10xqjig,I wanted to share this in the slight chance the woman who helped me reads this,24
89,10sxj21,My best friend is finally home!!,8
90,10s21ce,I hope I am half as good as my bf,9
91,10rg219,How I met my girlfriend and the joke I made about it.,19
92,10p775c,Teacups,14
93,10la6ow,My partner posted me here :),27
94,10k7c51,I love my partner,15
95,10jjry8,I have a Wholesome Confession.,17
96,10ab3ud,I'm gonna cry.,15
97,107q8zb,My deceased sister contacted my dad to let her know she was okay.,30
98,106uzwq,Never judge a book by its cover,13
